Kingdom,aa,n,count,type
Bacteria,B,20,0,empirical
Bacteria,B,21,1.1591418449378444e-142,expected
Bacteria,B,21,0,empirical
Bacteria,B,22,8.417474221383254e-150,expected
Bacteria,B,22,0,empirical
Bacteria,B,23,6.112612670987445e-157,expected
Bacteria,B,23,0,empirical
Bacteria,B,24,4.43889964364615e-164,expected
Bacteria,B,24,0,empirical
Bacteria,B,25,3.2234844744858024e-171,expected
Bacteria,B,25,0,empirical
Bacteria,B,26,2.3408701612225188e-178,expected
Bacteria,B,26,0,empirical
Bacteria,B,27,1.6999284148914128e-185,expected
Bacteria,B,27,0,empirical
Bacteria,B,28,1.2344839237140454e-192,expected
Bacteria,B,28,0,empirical
Bacteria,B,29,8.964776884481838e-200,expected
Bacteria,B,29,0,empirical
Bacteria,B,30,6.5101935035761e-207,expected
Bacteria,B,30,0,empirical
Bacteria,B,31,4.727689060525343e-214,expected
Bacteria,B,31,0,empirical
Bacteria,B,32,3.4332481481958406e-221,expected
Bacteria,B,32,0,empirical
Bacteria,B,33,2.493230595037833e-228,expected
Bacteria,B,33,0,empirical
Bacteria,B,34,1.8105922276928e-235,expected
Bacteria,B,34,0,empirical
Bacteria,B,35,1.314865980711376e-242,expected
Bacteria,B,35,0,empirical
Bacteria,B,36,9.548726535085759e-250,expected
Bacteria,B,36,0,empirical
Bacteria,B,37,6.934442815355726e-257,expected
Bacteria,B,37,0,empirical
Bacteria,B,38,5.035926707250417e-264,expected
Bacteria,B,38,0,empirical
Bacteria,B,39,3.657208256602387e-271,expected
Bacteria,B,39,0,empirical
Bacteria,B,40,2.655962757848319e-278,expected
Bacteria,B,40,0,empirical
Bacteria,B,41,1.928838109450909e-285,expected
Bacteria,B,41,0,empirical
Bacteria,B,42,1.400785017445478e-292,expected
Bacteria,B,42,0,empirical
Bacteria,B,43,1.0173015965824929e-299,expected
Bacteria,B,43,0,empirical
Bacteria,B,44,7.388033054206343e-307,expected
Bacteria,B,44,0,empirical
Bacteria,B,45,5.371575381e-314,expected
Bacteria,B,45,0,empirical
Bacteria,B,46,0.0,expected
Bacteria,B,46,0,empirical
Bacteria,B,47,0.0,expected
Bacteria,B,47,0,empirical
Bacteria,B,48,0.0,expected
Bacteria,B,48,0,empirical
Bacteria,B,49,0.0,expected
Bacteria,B,49,0,empirical
Bacteria,B,50,0.0,expected
Bacteria,B,50,0,empirical
Bacteria,C,1,951436.3629169862,expected
Bacteria,C,1,947166,empirical
Bacteria,C,2,9561.832280340643,expected
Bacteria,C,2,11626,empirical
Bacteria,C,3,96.22339697207464,expected
Bacteria,C,3,109,empirical
Bacteria,C,4,0.9687344021866665,expected
Bacteria,C,4,10,empirical
Bacteria,C,5,0.009754611063060286,expected
Bacteria,C,5,0,empirical
Bacteria,C,6,9.823248631825633e-05,expected
Bacteria,C,6,0,empirical
Bacteria,C,7,9.89280859667817e-07,expected
Bacteria,C,7,0,empirical
Bacteria,C,8,9.963065529267265e-09,expected
Bacteria,C,8,0,empirical
Bacteria,C,9,1.0033865575009476e-10,expected
Bacteria,C,9,0,empirical
Bacteria,C,10,1.0105199999337355e-12,expected
Bacteria,C,10,0,empirical
Bacteria,C,11,1.0177043140150197e-14,expected
Bacteria,C,11,0,empirical
Bacteria,C,12,1.0249375057979031e-16,expected
Bacteria,C,12,0,empirical
Bacteria,C,13,1.032216683977883e-18,expected
Bacteria,C,13,0,empirical
Bacteria,C,14,1.0395532017091718e-20,expected
Bacteria,C,14,0,empirical
Bacteria,C,15,1.0469459874531157e-22,expected
Bacteria,C,15,0,empirical
Bacteria,C,16,1.0543978753598526e-24,expected
Bacteria,C,16,0,empirical
Bacteria,C,17,1.0619130986042254e-26,expected
Bacteria,C,17,0,empirical
Bacteria,C,18,1.0694896115820645e-28,expected
Bacteria,C,18,0,empirical
Bacteria,C,19,1.0771250216594174e-30,expected
Bacteria,C,19,0,empirical
Bacteria,C,20,1.0848209611861135e-32,expected
Bacteria,C,20,0,empirical
Bacteria,C,21,1.0925769569352768e-34,expected
Bacteria,C,21,0,empirical
Bacteria,C,22,1.1003985351512636e-36,expected
Bacteria,C,22,0,empirical
Bacteria,C,23,1.1082755957687765e-38,expected
Bacteria,C,23,0,empirical
Bacteria,C,24,1.1162177783487186e-40,expected
Bacteria,C,24,0,empirical
Bacteria,C,25,1.1242215720214834e-42,expected
Bacteria,C,25,0,empirical
Bacteria,C,26,1.1322866281185613e-44,expected
Bacteria,C,26,0,empirical
Bacteria,C,27,1.1404136536371809e-46,expected
Bacteria,C,27,0,empirical
Bacteria,C,28,1.1486030946327177e-48,expected
Bacteria,C,28,0,empirical
Bacteria,C,29,1.1568492630115682e-50,expected
Bacteria,C,29,0,empirical
Bacteria,C,30,1.1651556009510188e-52,expected
Bacteria,C,30,0,empirical
Bacteria,C,31,1.1735231517637436e-54,expected
Bacteria,C,31,0,empirical
Bacteria,C,32,1.181954298554883e-56,expected
Bacteria,C,32,0,empirical
Bacteria,C,33,1.1904486621739814e-58,expected
Bacteria,C,33,0,empirical
Bacteria,C,34,1.1990066031826695e-60,expected
Bacteria,C,34,0,empirical
Bacteria,C,35,1.207633359354057e-62,expected
Bacteria,C,35,0,empirical
Bacteria,C,36,1.2163310047848972e-64,expected
Bacteria,C,36,0,empirical
Bacteria,C,37,1.225097378812649e-66,expected
Bacteria,C,37,0,empirical
Bacteria,C,38,1.2339317614169545e-68,expected
Bacteria,C,38,0,empirical
Bacteria,C,39,1.2428369202844517e-70,expected
Bacteria,C,39,0,empirical
Bacteria,C,40,1.2518121367429683e-72,expected
Bacteria,C,40,0,empirical
Bacteria,C,41,1.2608565214121641e-74,expected
Bacteria,C,41,0,empirical
Bacteria,C,42,1.2699718079835082e-76,expected
Bacteria,C,42,0,empirical
Bacteria,C,43,1.2791605401770911e-78,expected
Bacteria,C,43,0,empirical
Bacteria,C,44,1.2884182674568426e-80,expected
Bacteria,C,44,0,empirical
Bacteria,C,45,1.297748359802425e-82,expected
Bacteria,C,45,0,empirical
Bacteria,C,46,1.3071530798493177e-84,expected
Bacteria,C,46,0,empirical
Bacteria,C,47,1.3166286493013504e-86,expected
Bacteria,C,47,0,empirical
Bacteria,C,48,1.3261767030437732e-88,expected
Bacteria,C,48,0,empirical
Bacteria,C,49,1.3358047420756102e-90,expected
Bacteria,C,49,0,empirical
Bacteria,C,50,1.3455098391803762e-92,expected
Bacteria,C,50,0,empirical
Bacteria,D,1,4851728.831534579,expected
Bacteria,D,1,4912135,empirical
Bacteria,D,2,273636.0125342826,expected
Bacteria,D,2,251869,empirical
Bacteria,D,3,15454.952521003113,expected
Bacteria,D,3,10303,empirical
Bacteria,D,4,873.2868614785057,expected
Bacteria,D,4,476,empirical
Bacteria,D,5,49.35503973333761,expected
Bacteria,D,5,21,empirical
Bacteria,D,6,2.789639590285407,expected
Bacteria,D,6,1,empirical
Bacteria,D,7,0.15768305268557226,expected
Bacteria,D,7,0,empirical
Bacteria,D,8,0.008913156987255986,expected
Bacteria,D,8,0,empirical
Bacteria,D,9,0.0005038254012436543,expected
Bacteria,D,9,0,empirical
Bacteria,D,10,2.8479347425611066e-05,expected
Bacteria,D,10,0,empirical
Bacteria,D,11,1.6098305848274688e-06,expected
Bacteria,D,11,0,empirical
Bacteria,D,12,9.099751349010945e-08,expected
Bacteria,D,12,0,empirical
Bacteria,D,13,5.1437058653482926e-09,expected
Bacteria,D,13,0,empirical
Bacteria,D,14,2.9075363358075195e-10,expected
Bacteria,D,14,0,empirical
Bacteria,D,15,1.6435230122725698e-11,expected
Bacteria,D,15,0,empirical
Bacteria,D,16,9.290283387994397e-13,expected
Bacteria,D,16,0,empirical
Bacteria,D,17,5.2515372600551565e-14,expected
Bacteria,D,17,0,empirical
Bacteria,D,18,2.9685693405921976e-15,expected
Bacteria,D,18,0,empirical
Bacteria,D,19,1.678069134473525e-16,expected
Bacteria,D,19,0,empirical
Bacteria,D,20,9.485821595216106e-18,expected
Bacteria,D,20,0,empirical
Bacteria,D,21,5.362185881812507e-19,expected
Bacteria,D,21,0,empirical
Bacteria,D,22,3.031190311287822e-20,expected
Bacteria,D,22,0,empirical
Bacteria,D,23,1.7134994832053082e-21,expected
Bacteria,D,23,0,empirical
Bacteria,D,24,9.686308783512627e-23,expected
Bacteria,D,24,0,empirical
Bacteria,D,25,5.47563496990653e-24,expected
Bacteria,D,25,0,empirical
Bacteria,D,26,3.095366970069418e-25,expected
Bacteria,D,26,0,empirical
Bacteria,D,27,1.7498118946348105e-26,expected
Bacteria,D,27,0,empirical
Bacteria,D,28,9.891732538633859e-28,expected
Bacteria,D,28,0,empirical
Bacteria,D,29,5.591810807266691e-29,expected
Bacteria,D,29,0,empirical
Bacteria,D,30,3.161061261826917e-30,expected
Bacteria,D,30,0,empirical
Bacteria,D,31,1.7869560297072163e-31,expected
Bacteria,D,31,0,empirical
Bacteria,D,32,1.0101738927037398e-32,expected
Bacteria,D,32,0,empirical
Bacteria,D,33,5.710569031466995e-34,expected
Bacteria,D,33,0,empirical
Bacteria,D,34,3.228221879066206e-35,expected
Bacteria,D,34,0,empirical
Bacteria,D,35,1.824945653506671e-36,expected
Bacteria,D,35,0,empirical
Bacteria,D,36,1.0316674866978773e-37,expected
