Kingdom,aa,n,count,type
Archaea,B,29,0.0,expected
Archaea,B,29,0,empirical
Archaea,B,30,0.0,expected
Archaea,B,30,0,empirical
Archaea,B,31,0.0,expected
Archaea,B,31,0,empirical
Archaea,B,32,0.0,expected
Archaea,B,32,0,empirical
Archaea,B,33,0.0,expected
Archaea,B,33,0,empirical
Archaea,B,34,0.0,expected
Archaea,B,34,0,empirical
Archaea,B,35,0.0,expected
Archaea,B,35,0,empirical
Archaea,B,36,0.0,expected
Archaea,B,36,0,empirical
Archaea,B,37,0.0,expected
Archaea,B,37,0,empirical
Archaea,B,38,0.0,expected
Archaea,B,38,0,empirical
Archaea,B,39,0.0,expected
Archaea,B,39,0,empirical
Archaea,B,40,0.0,expected
Archaea,B,40,0,empirical
Archaea,B,41,0.0,expected
Archaea,B,41,0,empirical
Archaea,B,42,0.0,expected
Archaea,B,42,0,empirical
Archaea,B,43,0.0,expected
Archaea,B,43,0,empirical
Archaea,B,44,0.0,expected
Archaea,B,44,0,empirical
Archaea,B,45,0.0,expected
Archaea,B,45,0,empirical
Archaea,B,46,0.0,expected
Archaea,B,46,0,empirical
Archaea,B,47,0.0,expected
Archaea,B,47,0,empirical
Archaea,B,48,0.0,expected
Archaea,B,48,0,empirical
Archaea,B,49,0.0,expected
Archaea,B,49,0,empirical
Archaea,B,50,0.0,expected
Archaea,B,50,0,empirical
Archaea,C,1,48589.168047372914,expected
Archaea,C,1,48356,empirical
Archaea,C,2,451.0429988028973,expected
Archaea,C,2,559,empirical
Archaea,C,3,4.195933583111018,expected
Archaea,C,3,10,empirical
Archaea,C,4,0.03907820032075751,expected
Archaea,C,4,0,empirical
Archaea,C,5,0.00036417508772429907,expected
Archaea,C,5,0,empirical
Archaea,C,6,3.3952063155796757e-06,expected
Archaea,C,6,0,empirical
Archaea,C,7,3.1662638641658176e-08,expected
Archaea,C,7,0,empirical
Archaea,C,8,2.9534651105847456e-10,expected
Archaea,C,8,0,empirical
Archaea,C,9,2.7554776100077094e-12,expected
Archaea,C,9,0,empirical
Archaea,C,10,2.5711083873058733e-14,expected
Archaea,C,10,0,empirical
Archaea,C,11,2.3993352743963167e-16,expected
Archaea,C,11,0,empirical
Archaea,C,12,2.239242053538525e-18,expected
Archaea,C,12,0,empirical
Archaea,C,13,2.089977104627059e-20,expected
Archaea,C,13,0,empirical
Archaea,C,14,1.9507820346048426e-22,expected
Archaea,C,14,0,empirical
Archaea,C,15,1.8209507262994435e-24,expected
Archaea,C,15,0,empirical
Archaea,C,16,1.6998330262335512e-26,expected
Archaea,C,16,0,empirical
Archaea,C,17,1.5868252323560802e-28,expected
Archaea,C,17,0,empirical
Archaea,C,18,1.4813685748852055e-30,expected
Archaea,C,18,0,empirical
Archaea,C,19,1.3829378728177286e-32,expected
Archaea,C,19,0,empirical
Archaea,C,20,1.2910573297869757e-34,expected
Archaea,C,20,0,empirical
Archaea,C,21,1.2052771077635033e-36,expected
Archaea,C,21,0,empirical
Archaea,C,22,1.1251879643788559e-38,expected
Archaea,C,22,0,empirical
Archaea,C,23,1.0504023789769452e-40,expected
Archaea,C,23,0,empirical
Archaea,C,24,9.806556475675667e-43,expected
Archaea,C,24,0,empirical
Archaea,C,25,9.15602199121176e-45,expected
Archaea,C,25,0,empirical
Archaea,C,26,8.549183268281915e-47,expected
Archaea,C,26,0,empirical
Archaea,C,27,7.982996773079279e-49,expected
Archaea,C,27,0,empirical
Archaea,C,28,7.454745330537524e-51,expected
Archaea,C,28,0,empirical
Archaea,C,29,6.961838314422566e-53,expected
Archaea,C,29,0,empirical
Archaea,C,30,6.501720439808759e-55,expected
Archaea,C,30,0,empirical
Archaea,C,31,6.07228023559585e-57,expected
Archaea,C,31,0,empirical
Archaea,C,32,5.671395776290075e-59,expected
Archaea,C,32,0,empirical
Archaea,C,33,5.297152869901964e-61,expected
Archaea,C,33,0,empirical
Archaea,C,34,4.947743360337703e-63,expected
Archaea,C,34,0,empirical
Archaea,C,35,4.621479339588615e-65,expected
Archaea,C,35,0,empirical
Archaea,C,36,4.316831461407063e-67,expected
Archaea,C,36,0,empirical
Archaea,C,37,4.032374064109672e-69,expected
Archaea,C,37,0,empirical
Archaea,C,38,3.766717087572819e-71,expected
Archaea,C,38,0,empirical
Archaea,C,39,3.5186367655622525e-73,expected
Archaea,C,39,0,empirical
Archaea,C,40,3.286918013538051e-75,expected
Archaea,C,40,0,empirical
Archaea,C,41,3.0705284934243674e-77,expected
Archaea,C,41,0,empirical
Archaea,C,42,2.8684091353423233e-79,expected
Archaea,C,42,0,empirical
Archaea,C,43,2.679666637572296e-81,expected
Archaea,C,43,0,empirical
Archaea,C,44,2.50342859743304e-83,expected
Archaea,C,44,0,empirical
Archaea,C,45,2.3388068458914893e-85,expected
Archaea,C,45,0,empirical
Archaea,C,46,2.185049454587477e-87,expected
Archaea,C,46,0,empirical
Archaea,C,47,2.04144911017815e-89,expected
Archaea,C,47,0,empirical
Archaea,C,48,1.907353715664217e-91,expected
Archaea,C,48,0,empirical
Archaea,C,49,1.782113833825084e-93,expected
Archaea,C,49,0,empirical
Archaea,C,50,1.6651354334080187e-95,expected
Archaea,C,50,0,empirical
Archaea,D,1,271212.6448696962,expected
Archaea,D,1,274811,empirical
Archaea,D,2,15514.455105534118,expected
Archaea,D,2,14099,empirical
Archaea,D,3,889.4887231491966,expected
Archaea,D,3,668,empirical
Archaea,D,4,51.057914619066224,expected
Archaea,D,4,28,empirical
Archaea,D,5,2.932680109658301,expected
Archaea,D,5,1,empirical
Archaea,D,6,0.1685203375563819,expected
Archaea,D,6,0,empirical
Archaea,D,7,0.009686505370738528,expected
Archaea,D,7,0,empirical
Archaea,D,8,0.0005569140298913214,expected
Archaea,D,8,0,empirical
Archaea,D,9,3.202519372531687e-05,expected
Archaea,D,9,0,empirical
Archaea,D,10,1.8418531945522076e-06,expected
Archaea,D,10,0,empirical
Archaea,D,11,1.0594149197650329e-07,expected
Archaea,D,11,0,empirical
Archaea,D,12,6.09421345535998e-09,expected
Archaea,D,12,0,empirical
Archaea,D,13,3.505903824007577e-10,expected
