kingdom,aa,n,expected_frequency
Eukaryota,K,25,1.1136561145987815e-31
Eukaryota,K,26,6.466952091452076e-33
Eukaryota,K,27,3.755330645151934e-34
Eukaryota,K,28,2.180703993935216e-35
Eukaryota,K,29,1.2663252210039694e-36
Eukaryota,K,30,7.353494879683296e-38
Eukaryota,K,31,4.270142144263503e-39
Eukaryota,K,32,2.4796527679095387e-40
Eukaryota,K,33,1.439923459611656e-41
Eukaryota,K,34,8.361572218387472e-43
Eukaryota,K,35,4.855528222462974e-44
Eukaryota,K,36,2.8195838896528846e-45
Eukaryota,K,37,1.6373199673747166e-46
Eukaryota,K,38,9.507845059697706e-48
Eukaryota,K,39,5.521163821397982e-49
Eukaryota,K,40,3.206115555240564e-50
Eukaryota,K,41,1.8617772060516e-51
Eukaryota,K,42,1.0811258375599074e-52
Eukaryota,K,43,6.27805020300166e-54
Eukaryota,K,44,3.6456361491060174e-55
Eukaryota,K,45,2.1170048823939038e-56
Eukaryota,K,46,1.2293354270087075e-57
Eukaryota,K,47,7.138696772346344e-59
Eukaryota,K,48,4.1454098277725106e-60
Eukaryota,K,49,2.407221260155128e-61
Eukaryota,K,50,1.3978628015306676e-62
Eukaryota,V,1,0.05936565643255571
Eukaryota,V,2,0.004060832424361495
Eukaryota,V,3,0.0002777760909201782
Eukaryota,V,4,1.90009211471038e-05
Eukaryota,V,5,1.2997339088561203e-06
Eukaryota,V,6,8.890664935409731e-08
Eukaryota,V,7,6.0815465731204696e-09
Eukaryota,V,8,4.160004790387351e-10
Eukaryota,V,9,2.845598508204156e-11
Eukaryota,V,10,1.946495563804325e-12
Eukaryota,V,11,1.3314755995922415e-13
Eukaryota,V,12,9.107789944533035e-15
Eukaryota,V,13,6.230068181432742e-16
Eukaryota,V,14,4.261599112592478e-17
Eukaryota,V,15,2.915092815609029e-18
Eukaryota,V,16,1.9940322632660514e-19
Eukaryota,V,17,1.363992475867435e-20
Eukaryota,V,18,9.330217512005944e-22
Eukaryota,V,19,6.382216937522384e-23
Eukaryota,V,20,4.365674539225217e-24
Eukaryota,V,21,2.9862842910253966e-25
Eukaryota,V,22,2.0427298889778734e-26
