virus_TaxName,virus_TaxID,virushost_TaxName
Maize streak virus,10821,Oryza glaberrima (African rice)
Fujinami sarcoma virus,,Gallus gallus (Chicken)
Theilovirus,204711,Mus musculus (Mouse)
Bean golden yellow mosaic virus,220340,Phaseolus vulgaris (Kidney bean) (French bean)
Grapevine chrome mosaic virus (GCMV) (Hungarian grapevine chrome mosaic virus),,Vitis vinifera (Grape)
Wheat dwarf virus,10834,Hordeum vulgare (Barley)
Panicum mosaic virus,40279,Panicum virgatum (Switchgrass)
Porcine torovirus,237020,Sus scrofa (Pig)
Western equine encephalitis virus (WEEV),,Culex tarsalis (Encephalitis mosquito)
Tobacco ringspot virus (TobRV) (TRSV),12282,Phaseolus vulgaris (Kidney bean) (French bean)
Odontoglossum ringspot virus,12238,Nicotiana tabacum (Common tobacco)
Pipapillomavirus 2,1176145,Micromys minutus (European harvest mouse)
Sugarcane mosaic virus,12224,Zea mays (Maize)
Sunn-hemp mosaic virus (SHMV) (TMV strain cowpea),,Vigna unguiculata (Cowpea)
Suid herpesvirus 1 (Pseudorabies virus),10345,Sus scrofa (Pig)
Avian infectious bursal disease virus (IBDV) (Gumboro disease virus),10995,Gallus gallus (Chicken)
Tobacco mild green mosaic virus (TMGMV) (TMV strain U2),,Capsicum annuum (Bell pepper)
Betacoronavirus 1,694003,Bos taurus (Bovine)
Viral hemorrhagic septicemia virus,11287,Salmo trutta (Brown trout)
California encephalitis virus,35305,Equus caballus (Horse)
Vaccinia virus,10245,Equus caballus (Horse)
Latino mammarenavirus (isolate Rat/Bolivia/MARU 1924/1965) (LATV),,Calomys callosus (Large vesper mouse)
Seoul virus,11608,Homo sapiens (Human)
Rotavirus A,28875,Equus caballus (Horse)
Cowpea severe mosaic virus,12261,Phaseolus vulgaris (Kidney bean) (French bean)
Cowpea mosaic virus (CPMV),12264,Vigna unguiculata (Cowpea)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Triticum aestivum (Wheat)
Rotavirus A,28875,Sus scrofa (Pig)
Molluscum contagiosum virus,10279,Homo sapiens (Human)
Murray Valley encephalitis virus,11079,Homo sapiens (Human)
Peanut stunt virus,12313,Arachis hypogaea (Peanut)
Pepper ringspot virus,31750,Viola arvensis (European field pansy) (Field violet)
Lactococcus phage mv1 (Lactococcus delbrueckii bacteriophage mv1),,Lactobacillus delbrueckii
Murine leukemia virus,11786,Mus musculus (Mouse)
Murine coronavirus,694005,Mus musculus (Mouse)
Myxoma virus,10273,Oryctolagus cuniculus (Rabbit)
Vesicular stomatitis New Jersey virus,11280,Homo sapiens (Human)
European elk papillomavirus (EEPV),,Cervus elaphus (Red deer)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Lolium perenne (Perennial ryegrass)
Equine mastadenovirus B,129955,Equus caballus (Horse)
Rice ragged stunt virus (RRSV),42475,Oryza rufipogon (Brownbeard rice) (Asian wild rice)
Rice hoja blanca virus,12332,Oryza sativa (Rice)
Human immunodeficiency virus 1,11676,Homo sapiens (Human)
Infectious salmon anemia virus,55987,Salmo salar (Atlantic salmon)
Tobacco ringspot virus (TobRV) (TRSV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
